source_id,datetime,property_name,temperature
MICDEV001,2019-04-13 17:51:16+00:00,heating_temperature,33.3
interpolation,2019-04-13 18:51:16+00:00,heating_temperature,33.99961132704054
MICDEV001,2019-04-13 18:51:18+00:00,heating_temperature,34.0
interpolation,2019-04-13 19:51:16+00:00,heating_temperature,33.800222098833984
MICDEV001,2019-04-13 19:51:20+00:00,heating_temperature,33.8
interpolation,2019-04-13 20:51:16+00:00,heating_temperature,34.19944459872258
MICDEV001,2019-04-13 20:51:21+00:00,heating_temperature,34.2
interpolation,2019-04-13 21:51:16+00:00,heating_temperature,34.4994169905608
MICDEV001,2019-04-13 21:51:23+00:00,heating_temperature,34.5
interpolation,2019-04-13 22:51:16+00:00,heating_temperature,34.69950027762355
MICDEV001,2019-04-13 22:51:25+00:00,heating_temperature,34.7
interpolation,2019-04-13 23:51:16+00:00,heating_temperature,34.799722299361285
MICDEV001,2019-04-13 23:51:26+00:00,heating_temperature,34.8
interpolation,2019-04-14 00:51:16+00:00,heating_temperature,34.89966685174903
MICDEV001,2019-04-14 00:51:28+00:00,heating_temperature,34.9
interpolation,2019-04-14 01:51:16+00:00,heating_temperature,34.99961132704053
MICDEV001,2019-04-14 01:51:30+00:00,heating_temperature,35.0
interpolation,2019-04-14 02:51:16+00:00,heating_temperature,35.01991337183474
interpolation,2019-04-14 03:51:16+00:00,heating_temperature,35.03990448689471
interpolation,2019-04-14 04:51:16+00:00,heating_temperature,35.059895601954686
interpolation,2019-04-14 05:51:16+00:00,heating_temperature,35.07988671701466
interpolation,2019-04-14 06:51:16+00:00,heating_temperature,35.09987783207463
MICDEV001,2019-04-14 06:51:38+00:00,heating_temperature,35.1
interpolation,2019-04-14 07:51:16+00:00,heating_temperature,34.75228377065112
interpolation,2019-04-14 08:51:16+00:00,heating_temperature,34.40242954324587
MICDEV001,2019-04-14 08:51:41+00:00,heating_temperature,34.4
interpolation,2019-04-14 09:51:16+00:00,heating_temperature,34.598500832870634
MICDEV001,2019-04-14 09:51:43+00:00,heating_temperature,34.6
MICDEV001,2019-04-14 10:25:16+00:00,heating_temperature,34.2
MICDEV001,2019-04-14 10:43:38+00:00,heating_temperature,34.49999999999999
interpolation,2019-04-14 10:51:16+00:00,heating_temperature,34.41806797853309
MICDEV001,2019-04-14 11:39:32+00:00,heating_temperature,33.9
interpolation,2019-04-14 11:51:16+00:00,heating_temperature,34.00039613373475
interpolation,2019-04-14 12:51:16+00:00,heating_temperature,34.513785453969255
MICDEV001,2019-04-14 13:24:43+00:00,heating_temperature,34.8
interpolation,2019-04-14 13:51:16+00:00,heating_temperature,34.6918778280543
MICDEV001,2019-04-14 14:38:23+00:00,heating_temperature,34.5
interpolation,2019-04-14 14:51:16+00:00,heating_temperature,33.28404494382023
MICDEV001,2019-04-14 15:00:38+00:00,heating_temperature,32.4
interpolation,2019-04-14 15:51:16+00:00,heating_temperature,33.496446418656305
MICDEV001,2019-04-14 16:00:40+00:00,heating_temperature,33.7
interpolation,2019-04-14 16:51:16+00:00,heating_temperature,34.71143808995003
MICDEV001,2019-04-14 17:00:42+00:00,heating_temperature,34.9
