source_id,datetime,property_name,temperature
MICDEV001,2019-04-13 17:51:16+00:00,cooling_temperature,15.0
interpolation,2019-04-13 18:51:16+00:00,cooling_temperature,15.35613682092555
interpolation,2019-04-13 19:51:16+00:00,cooling_temperature,15.712273641851107
interpolation,2019-04-13 20:51:16+00:00,cooling_temperature,16.06841046277666
interpolation,2019-04-13 21:51:16+00:00,cooling_temperature,16.424547283702214
interpolation,2019-04-13 22:51:16+00:00,cooling_temperature,16.780684104627767
interpolation,2019-04-13 23:51:16+00:00,cooling_temperature,17.136820925553316
interpolation,2019-04-14 00:51:16+00:00,cooling_temperature,17.492957746478872
interpolation,2019-04-14 01:51:16+00:00,cooling_temperature,17.849094567404425
interpolation,2019-04-14 02:51:16+00:00,cooling_temperature,18.205231388329977
interpolation,2019-04-14 03:51:16+00:00,cooling_temperature,18.56136820925553
interpolation,2019-04-14 04:51:16+00:00,cooling_temperature,18.917505030181086
interpolation,2019-04-14 05:51:16+00:00,cooling_temperature,19.27364185110664
interpolation,2019-04-14 06:51:16+00:00,cooling_temperature,19.629778672032195
interpolation,2019-04-14 07:51:16+00:00,cooling_temperature,19.985915492957744
interpolation,2019-04-14 08:51:16+00:00,cooling_temperature,20.342052313883297
interpolation,2019-04-14 09:51:16+00:00,cooling_temperature,20.698189134808853
MICDEV001,2019-04-14 10:25:16+00:00,cooling_temperature,20.9
MICDEV001,2019-04-14 10:43:38+00:00,cooling_temperature,20.399999999999995
interpolation,2019-04-14 10:51:16+00:00,cooling_temperature,22.02498509242695
MICDEV001,2019-04-14 11:39:32+00:00,cooling_temperature,32.3
interpolation,2019-04-14 11:51:16+00:00,cooling_temperature,32.39336870026525
MICDEV001,2019-04-14 11:52:06+00:00,cooling_temperature,32.4
MICDEV001,2019-04-14 11:58:19+00:00,cooling_temperature,31.7
interpolation,2019-04-14 12:51:16+00:00,cooling_temperature,21.465451388888887
MICDEV001,2019-04-14 13:24:43+00:00,cooling_temperature,15.0
interpolation,2019-04-14 13:51:16+00:00,cooling_temperature,15.720814479638008
MICDEV001,2019-04-14 14:38:23+00:00,cooling_temperature,17.0
interpolation,2019-04-14 14:51:16+00:00,cooling_temperature,25.453782771535586
MICDEV001,2019-04-14 15:00:38+00:00,cooling_temperature,31.6
interpolation,2019-04-14 15:51:16+00:00,cooling_temperature,17.599222654081068
MICDEV001,2019-04-14 16:00:40+00:00,cooling_temperature,15.0
interpolation,2019-04-14 16:51:16+00:00,cooling_temperature,15.028098102730219
interpolation,2019-04-14 17:51:16+00:00,cooling_temperature,15.061416011105969
interpolation,2019-04-14 18:51:16+00:00,cooling_temperature,15.09473391948172
MICDEV001,2019-04-14 19:00:45+00:00,cooling_temperature,15.1
interpolation,2019-04-14 19:51:16+00:00,cooling_temperature,15.015852304275402
MICDEV001,2019-04-14 20:00:47+00:00,cooling_temperature,14.999999999999998
interpolation,2019-04-14 20:51:16+00:00,cooling_temperature,15.283682050055793
interpolation,2019-04-14 21:51:16+00:00,cooling_temperature,15.620841304001274
interpolation,2019-04-14 22:51:16+00:00,cooling_temperature,15.958000557946754
interpolation,2019-04-14 23:51:16+00:00,cooling_temperature,16.295159811892233
interpolation,2019-04-15 00:51:16+00:00,cooling_temperature,16.632319065837713
interpolation,2019-04-15 01:51:16+00:00,cooling_temperature,16.9694783197832
interpolation,2019-04-15 02:51:16+00:00,cooling_temperature,17.306637573728676
interpolation,2019-04-15 03:51:16+00:00,cooling_temperature,17.64379682767416
interpolation,2019-04-15 04:51:16+00:00,cooling_temperature,17.980956081619638
interpolation,2019-04-15 05:51:16+00:00,cooling_temperature,18.318115335565118
interpolation,2019-04-15 06:51:16+00:00,cooling_temperature,18.655274589510597
interpolation,2019-04-15 07:51:16+00:00,cooling_temperature,18.99243384345608
interpolation,2019-04-15 08:51:16+00:00,cooling_temperature,19.32959309740156
interpolation,2019-04-15 09:51:16+00:00,cooling_temperature,19.66675235134704
MICDEV001,2019-04-15 09:57:11+00:00,cooling_temperature,19.7
interpolation,2019-04-15 10:51:16+00:00,cooling_temperature,15.465824541921156
MICDEV001,2019-04-15 10:57:13+00:00,cooling_temperature,15.0
interpolation,2019-04-15 11:51:16+00:00,cooling_temperature,14.987136567371385
interpolation,2019-04-15 12:51:16+00:00,cooling_temperature,14.972857086192535
interpolation,2019-04-15 13:51:16+00:00,cooling_temperature,14.958577605013685
interpolation,2019-04-15 14:51:16+00:00,cooling_temperature,14.944298123834834
interpolation,2019-04-15 15:51:16+00:00,cooling_temperature,14.930018642655984
interpolation,2019-04-15 16:51:16+00:00,cooling_temperature,14.915739161477134
interpolation,2019-04-15 17:51:16+00:00,cooling_temperature,14.901459680298284
MICDEV001,2019-04-15 17:57:24+00:00,cooling_temperature,14.9
interpolation,2019-04-15 18:51:16+00:00,cooling_temperature,14.989727928928376
